floor,total_floor,gym,lift,property_age,property_size,swimming_pool,rent,deposit,type,furnishing,lease_type,locality,parking,building_type,property_id,count
1,3.0,1,0,1,700,1,14000,50000,1,2,3,1825,0,0,ff808081485677b101485a6f3b6b01b0,104.0
0,5.0,0,0,5,1200,0,12000,120000,1,2,3,1990,3,0,ff808081485677b101485ae9ee5e01ec,104.0
3,4.0,0,1,2,1150,0,17000,170000,2,2,3,2288,0,0,ff808081485677b101485af0731101f2,103.0
5,5.0,0,0,2,750,0,9000,40000,1,1,0,428,3,1,ff808081485677b1014868d69e7607ec,102.0
2,2.0,1,0,2,1050,0,18000,100000,1,2,0,789,0,1,ff808081486e6af00148744180fd02b1,101.0
0,2.0,1,1,5,1600,1,30000,150000,2,2,3,1214,3,0,ff808081486e6af0014878df914a0511,99.0
1,2.0,0,0,15,1100,0,28000,280000,1,2,3,761,0,0,ff808081487ed979014881d92fb9011f,98.0
2,2.0,0,0,2,850,0,20000,150000,1,2,3,2288,3,1,ff808081487ed9790148892b58c40694,98.0
1,3.0,1,1,2,800,0,10000,50000,1,2,0,1551,0,0,ff808081488f1fd5014892d08f9701ae,98.0
1,1.0,0,0,5,1100,0,20000,150000,1,2,3,766,3,1,ff808081488f1fd50148939038520277,95.0
2,2.0,1,0,3,600,0,12000,120000,1,2,3,2210,3,1,ff8080814897819b014899584ce301c6,95.0
1,5.0,0,1,3,1200,0,19000,130000,1,2,0,436,0,0,ff8080814897819b01489bcf4828024b,95.0
4,4.0,0,1,0,1250,0,18000,180000,1,2,3,1494,0,0,ff80808148af4d480148b046d1b2001f,94.0
3,3.0,0,0,7,550,0,14000,60000,0,2,0,1572,0,1,ff80808148af4d480148b11c711a00f3,94.0
3,4.0,1,1,0,870,1,13500,80000,1,2,0,668,0,0,ff80808148bd7a1d0148c0ea594a01ac,93.0
0,0.0,0,0,8,1100,0,22000,220000,1,2,3,236,0,2,ff80808148c7fbee0148cf9b8a3e0334,92.0
4,4.0,0,1,1,1000,0,26000,150000,1,2,3,2288,0,0,ff80808148c7fbee0148cfc0fbf6036a,91.0
3,3.0,1,0,4,400,0,8500,35000,0,2,1,1494,3,1,ff80808148d5e8280148ea6b36060a0c,91.0
0,2.0,1,0,10,1100,0,25000,80000,2,2,0,1296,0,1,ff80808148f81af60148f88b69c60062,91.0
1,2.0,0,0,9,640,0,18000,60000,1,2,1,936,3,1,ff8080814902be640149095852cf05ae,89.0
5,9.0,0,1,1,1845,0,22000,220000,2,2,0,667,0,0,ff8080814909c63c01490d3c81240161,86.0
8,9.0,1,1,5,1500,1,22500,225000,1,0,3,1214,0,0,ff8080814909c63c01490d60fda20188,86.0
0,2.037134612972024,1,1,0,1350,1,25000,240000,1,2,0,2288,0,1,ff8080814924654401492bfe03f502e9,86.0
2,4.0,1,1,0,1410,1,19500,100000,2,2,3,2288,0,0,ff808081492465440149328ba50a0664,85.0
1,3.0,0,0,2,500,0,9500,75000,0,2,0,903,0,0,ff8080814924654401493659b1910786,85.0
2,3.0,0,1,2,1800,0,22000,220000,2,2,3,1097,0,1,ff80808149246544014936c5b7c30802,85.0
1,4.0,1,1,8,1800,0,32000,65000,2,2,0,2288,0,0,ff80808149393cef01495551f1d70ee8,85.0
0,0.0,0,0,5,1350,0,16500,180000,1,2,3,789,0,2,ff80808149393cef014955efe1500fd1,84.0
1,2.0,1,1,8,1450,0,30000,300000,2,2,3,963,0,0,ff80808149393cef01495ecb346b1555,84.0
7,12.0,1,1,5,1730,1,13000,130000,2,2,3,1616,0,0,ff80808149393cef01495fbc127515af,84.0
2,2.0,0,0,10,280,0,8500,51000,5,2,1,1296,3,1,ff80808149393cef014960f1e0fb16d4,83.0
0,2.0,0,0,2,1150,0,13500,100000,1,2,3,873,3,0,ff80808149393cef01497f8659382996,82.0
1,2.0,0,0,8,450,0,7000,70000,0,2,0,1296,3,1,ff808081499ce9550149a2bab4960434,82.0
2,2.0,0,0,12,1000,0,14000,140000,1,2,3,1785,3,1,ff808081499ce9550149acffc4560a52,82.0
3,3.0,1,1,6,1450,1,25000,250000,1,2,3,360,0,0,ff80808149b8764a0149bda1f264039d,82.0
1,4.0,1,0,3,450,0,11500,700000,0,2,0,826,0,0,ff80808149b8764a0149c1593d24065f,81.0
0,1.0,1,0,1,1276,1,15000,150000,2,2,0,910,0,2,ff80808149c62d440149ccf0248105cc,80.0
1,2.0,1,0,4,1500,1,15000,150000,2,2,3,1081,0,0,ff8080814a078fd2014a0fda73b30626,78.0
2,6.0,1,1,2,2000,0,22000,150000,2,2,0,86,0,0,ff8080814a078fd2014a15c813ff0b03,78.0
2,2.0,0,0,2,600,0,10000,40000,0,2,3,236,3,0,ff8080814a1e04e5014a1ed897d90145,76.0
0,3.0,0,0,1,1080,0,7500,75000,1,2,0,1331,3,1,ff8080814a39c526014a3cd9ab140110,76.0
1,1.0,0,0,5,1200,0,16500,160000,1,2,3,158,0,1,ff8080814a437784014a43819467000c,75.0
1,5.0,0,0,3,1476,0,23500,100000,2,2,0,2294,0,0,ff8080814a437784014a4ca7db3505ed,74.0
3,3.0,0,0,2,1400,0,18000,100000,2,2,0,159,0,0,ff8080814a52854b014a56949b7f0282,74.0
1,1.0,0,0,18,720,0,13000,130000,1,2,3,1113,0,1,ff8080814a52854b014a5d6f39310977,74.0
0,2.0,0,0,10,800,0,5500,40000,0,2,0,1257,0,0,ff8080814a52854b014a68d7933e12c6,74.0
2,4.0,1,1,3,1130,0,30000,300000,1,0,3,2288,0,0,ff8080814a7366c1014a76c2f0d4025b,74.0
1,2.0,0,0,4,750,0,9500,50000,1,2,3,730,3,1,ff8080814a7d5ba8014a85528a770548,73.0
4,4.0,0,1,4,960,0,15000,100000,1,2,3,624,0,0,ff8080814a7d5ba8014a89fc38f40924,73.0
1,4.0,0,0,1,450,0,8500,60000,0,2,0,1443,3,0,ff8080814a7d5ba8014a99d1cd78160f,73.0
4,4.0,0,0,0,1210,0,20000,150000,1,1,3,2288,1,0,ff8080814a7d5ba8014aa165f8b61bf2,73.0
5,9.0,1,1,2,1285,1,16500,165000,2,2,3,667,0,0,ff8080814a7d5ba8014aa58e5a4d1eff,72.0
2,3.0,1,1,3,1452,1,21500,215000,2,2,3,903,0,0,ff8080814aaa0c0f014aaa74306c00d7,72.0
2,2.0,0,0,2,1350,0,15000,150000,2,2,0,891,0,1,ff8080814ab0ae37014ab8bc9d00069e,72.0
1,3.0,0,0,1,3000,0,30000,300000,3,2,3,2167,0,1,ff8080814ab0ae37014ab910ee7d075a,71.0
0,2.0,0,0,7,600,0,13000,75000,1,2,0,236,0,0,ff8080814abd5223014ac2f368b40692,71.0
0,1.0,0,0,10,900,0,19500,195000,1,2,3,453,0,2,ff8080814ada14f3014ae3677a7c096e,71.0
1,2.7349788082772375,0,1,10,1200,0,22000,220000,1,2,0,553,3,1,ff8080814ada14f3014b07056f942c44,70.0
0,4.0,0,1,0,800,0,18000,180000,1,2,3,789,0,0,ff8080814ada14f3014b0bd49e7731ee,70.0
0,2.0,1,0,2,2720,1,42000,400000,2,0,0,2314,0,2,ff8080814ada14f3014b24d61f31486a,69.0
2,3.0,0,0,8,1200,0,35000,350000,1,2,0,635,0,0,ff8080814ada14f3014b2ab4b7a54e24,69.0
0,2.0,0,0,5,1500,0,30000,300000,2,2,3,936,0,1,ff8080814ada14f3014b2abc3c374e47,68.0
0,4.0,1,1,6,1100,0,10000,100000,1,2,3,730,0,0,ff8080814ada14f3014b2aebc0014e86,68.0
4,10.0,1,1,7,1678,1,20000,100000,2,2,0,1331,0,0,ff8080814ada14f3014b2efc2e4c5202,68.0
2,3.0,0,0,0,1000,0,14000,140000,1,2,3,1798,0,1,ff8080814ada14f3014b30bb3ed0555e,68.0
1,4.0,0,0,0,700,0,14000,100000,1,2,3,2288,0,0,ff8080814b317233014b3480514d01bf,68.0
4,4.0,0,0,0,300,0,5500,35000,5,2,0,1987,3,1,ff8080814b317233014b350040fd0296,68.0
3,3.0,0,0,4,700,0,11500,60000,1,2,3,1987,0,1,ff8080814b317233014b3505674802a4,67.0
1,2.0,0,0,2,700,0,9500,50000,0,2,3,1315,3,2,ff8080814b317233014b3c1008940a36,67.0
1,2.0,0,0,1,800,0,11500,100000,1,2,0,1819,0,1,ff8080814b317233014b4563a06b1410,67.0
4,12.0,1,1,2,1347,1,22000,200000,1,2,0,1938,0,0,ff8080814b317233014b49a91c6b18d4,67.0
1,2.0,0,1,9,1950,0,38000,300000,2,2,3,1297,0,0,ff8080814b5128f9014b62b6119b12c1,66.0
9,14.0,1,1,2,1350,1,20000,120000,2,2,3,2288,0,0,ff8080814b5128f9014b6470ace116ac,66.0
0,2.0,0,0,12,600,0,6000,50000,0,1,0,2328,3,1,ff8080814b5128f9014b6d1bbc8e1eac,66.0
0,4.0,1,1,2,1195,1,23000,150000,1,2,3,2194,0,0,ff8080814b5128f9014b6d694ddb1f63,66.0
2,3.189112201297674,0,1,2,750,1,15000,150000,1,0,3,1038,0,1,ff8080814b6ecf31014b72cac1e9031d,65.0
4,14.0,1,1,3,1645,1,25000,250000,2,2,3,963,0,0,ff8080814b6ecf31014b775b5cb10808,65.0
2,4.0,0,1,2,950,0,11500,115000,1,2,3,990,0,0,ff8080814b6ecf31014b81a6a2cf147c,65.0
2,3.0,0,0,0,900,0,15000,150000,1,2,3,1778,3,1,ff8081814b8e5bf5014b916ea805026e,65.0
2,3.0,0,0,2,700,0,10000,100000,0,2,0,1819,3,1,ff8081814b8e5bf5014b91755f980272,65.0
4,4.0,0,0,3,1000,0,15000,80000,1,2,3,667,0,0,ff8081814b8e5bf5014b97cd2a7d0c07,65.0
3,3.0,0,0,0,600,0,9000,90000,0,2,0,301,0,1,ff8081814b8e5bf5014b983339e70ce0,64.0
2,4.0,1,1,1,963,1,15000,100000,1,2,3,667,0,0,ff8081814b9e3da1014ba06e2f57012d,64.0
0,2.037134612972024,0,0,2,9500,0,14000,140000,2,2,0,877,3,1,ff8081814b9e3da1014ba74083520a97,64.0
1,2.0,0,0,5,2150,0,16500,160000,2,2,3,948,0,2,ff8081814baa2e3c014baad306de0140,64.0
2,2.0,0,0,1,1050,0,15000,150000,1,2,3,834,0,1,ff8081814baa2e3c014babca0e8d03a3,64.0
1,1.0,0,0,10,1000,0,15000,150000,1,2,3,1157,0,1,ff8081814bb10aa5014bb557913a04b9,64.0
2,3.0,0,0,2,750,0,6000,40000,1,2,0,2227,3,1,ff8081814bb10aa5014bb648367e0730,64.0
4,5.0,0,0,2,1190,0,15000,100000,1,2,0,975,0,0,ff8081814bb10aa5014bbb8fcaa60f80,64.0
1,1.0,0,0,6,300,0,7000,70000,0,2,0,1814,3,1,ff8081814bb10aa5014bbefdd0aa1350,63.0
1,1.0,0,0,5,900,0,7000,70000,1,2,3,345,3,1,ff8081814bbfbd48014bc0b8f45102b8,63.0
0,2.0,0,0,9,1100,0,12000,50000,1,2,0,513,0,1,ff8081814bc25254014bc430e63a0092,62.0
3,3.0,0,0,6,700,0,10500,50000,1,2,0,1494,1,1,ff8081814bc25254014bc9480d6208b4,62.0
2,3.0,0,0,1,600,0,12500,50000,1,2,0,371,2,1,ff8081814bc25254014bc95af56d08cb,62.0
0,1.0,0,0,6,1300,0,18000,180000,1,2,3,1563,3,1,ff8081814bc25254014bc969b3e10902,62.0
0,2.0,0,0,5,725,0,14000,140000,0,2,3,779,3,1,ff8081814bc25254014bcfc4c56313e4,62.0
0,0.0,0,0,10,750,0,13000,75000,1,2,0,1494,3,2,ff8081814bc25254014bcfdcd41b1414,62.0
2,4.0,0,0,8,1065,1,12500,100000,1,2,0,1148,0,0,ff8081814bd33564014bd3725ff70022,62.0
4,4.0,0,1,4,980,0,20000,240000,2,2,3,2228,0,1,ff8081814bd33564014bd3b593e100bb,62.0
3,3.0,1,1,3,1250,1,13000,130000,1,2,0,1778,0,0,ff8081814bd33564014bd439d3de02b6,62.0
2,3.0,0,1,4,1700,0,25000,150000,2,2,3,877,0,1,ff8081814bd33564014bd4e7e100050e,62.0
0,2.0,0,0,6,600,0,8000,750000,0,2,3,279,3,0,ff8081814bd62607014bd8aaa8a201e9,62.0
2,2.0,0,0,5,500,0,8000,50000,0,2,3,1829,3,1,ff8081814bd62607014bd8b9bba90214,61.0
4,4.0,0,0,5,150,0,7500,15000,5,1,1,1433,3,1,ff8081814bd62607014bd94d014f03f0,61.0
0,1.0,0,0,1,1200,0,18000,180000,2,2,3,979,0,1,ff8081814bd62607014bd9aef92b053c,61.0
1,2.0,0,0,0,1000,0,12000,120000,1,2,3,1157,3,1,ff8081814bd62607014bd9db560505e4,61.0
3,3.0,0,0,6,780,0,12500,100000,0,2,0,553,3,1,ff8081814bd62607014bdaad459f08a5,61.0
0,1.0,0,0,1,900,0,15000,150000,1,2,3,111,3,2,ff8081814bd62607014bde3c4f0f0c63,60.0
3,3.0,0,0,5,250,0,6000,35000,5,2,1,789,3,1,ff8081814bd62607014bde7f7bfa0d80,60.0
0,2.0,0,0,1,500,0,10500,80000,0,2,3,2239,0,0,ff8081814bd62607014be345816e1618,60.0
2,2.0,0,0,2,450,0,10500,90000,0,2,3,410,3,1,ff8081814bd62607014be353720b1652,60.0
2,2.0,0,0,1,800,0,12000,60000,1,2,0,424,0,0,ff8081814bd62607014be805dfed1f43,60.0
0,0.0,0,0,1,600,0,9000,70000,0,2,3,963,3,2,ff8081814bd62607014be86523792058,60.0
1,2.0,0,0,3,1100,0,13000,75000,1,2,3,1081,0,1,ff8081814bd62607014be86a086f206b,60.0
0,2.0,0,0,5,1500,0,12500,100000,1,2,3,2108,0,2,ff8081814bd62607014bed7433aa28a5,60.0
2,4.0,0,0,8,700,0,9500,60000,1,2,0,1373,3,0,ff8081814bedb29e014bedc540da0031,59.0
2,2.0,0,0,1,1000,0,12000,100000,1,2,3,279,3,1,ff8081814bedb29e014bee1fad8000e0,59.0
1,3.0,0,0,3,600,0,8000,80000,0,2,0,1256,3,0,ff8081814bedb29e014beea14cce0245,59.0
0,3.0,0,0,3,1000,0,15000,150000,1,2,0,1256,3,0,ff8081814bedb29e014beea61f870257,59.0
3,3.0,0,0,6,200,0,6000,50000,5,1,1,1038,3,1,ff8081814bedb29e014bf270e482072e,59.0
1,2.0,0,0,4,1100,0,12000,120000,1,2,3,351,0,1,ff8081814bf2b000014bf2c7a4b50067,58.0
2,3.0,0,0,4,550,0,6500,30000,0,2,3,653,3,1,ff8081814bf2b000014bf3be5f380437,58.0
7,13.0,1,1,10,1465,1,26000,260000,2,2,3,410,0,0,ff8081814bf2b000014bf42fd1a4062c,58.0
1,4.0,0,0,3,450,0,5500,18000,5,2,1,2314,3,1,ff8081814bf2b000014bf485e581076c,58.0
3,5.0,1,1,7,2030,1,18000,125000,2,2,3,897,0,0,ff8081814bf2b000014bf54325a208dc,58.0
1,7.0,1,1,1,1500,1,14000,100000,2,2,3,1919,0,0,ff8081814bf8e535014bfdc5255409a0,58.0
1,1.0,0,0,2,700,0,16000,50000,1,2,3,453,2,1,ff8081814c01dbd9014c0246aa5a0199,58.0
1,2.0,0,0,15,1000,0,17000,170000,1,2,0,2298,3,1,ff8081814c01dbd9014c0262dfe4023a,58.0
10,20.0,1,1,1,1300,1,15000,130000,1,2,3,135,0,0,ff8081814c01dbd9014c036d7c4f063f,58.0
1,4.0,1,1,2,1245,1,17000,170000,2,2,3,2312,0,0,ff8081814c01dbd9014c048e8ca30a24,57.0
2,2.0,0,0,3,1000,0,16000,100000,1,2,3,453,2,1,ff8081814c01dbd9014c088f0d221225,57.0
1,5.0,1,1,5,1160,0,20000,200000,1,0,0,1148,0,0,ff8081814c01dbd9014c08952af8123b,57.0
1,3.0,0,0,5,650,0,9000,90000,0,2,0,1017,0,1,ff8081814c01dbd9014c089933861249,57.0
0,0.0,0,0,6,1200,0,20000,200000,2,2,0,1888,0,2,ff8081814c0c90b0014c0ebe4642079f,57.0
0,4.0,1,1,5,1250,0,20000,100000,1,2,0,826,0,0,ff8081814c0c90b0014c119dce150b2a,57.0
0,2.0,0,0,3,150,0,4000,25000,5,2,1,1802,3,1,ff8081814c0c90b0014c11bfdaa00b96,56.0
1,3.0,0,0,5,650,0,14000,70000,1,2,3,948,0,0,ff8081814c0c90b0014c11c996cd0bd1,56.0
2,2.0,0,0,1,950,0,15000,150000,1,2,3,834,0,1,ff8081814c0c90b0014c120186c30cd9,56.0
0,1.0,0,0,1,1500,0,18000,100000,1,2,3,166,0,2,ff8081814c16934f014c16c4e9d700ad,56.0
2,3.0,0,0,3,2000,0,25000,250000,2,2,3,1017,0,0,ff8081814c172ed0014c17e9a8bb02e4,56.0
4,4.0,1,1,7,1400,0,18000,100000,2,2,3,1273,0,0,ff8081814c17ede2014c17f65d09001b,56.0
1,3.0,1,1,3,1450,1,20000,200000,1,2,0,451,0,0,ff8081814c17ede2014c18fd9d7802e9,55.0
0,5.0,0,1,5,1250,0,15000,150000,1,2,3,279,0,0,ff8081814c17ede2014c1baa66fe0546,55.0
3,4.0,0,0,1,600,0,13000,50000,0,2,0,936,0,1,ff8081814c17ede2014c1c1736d306db,55.0
3,4.0,0,0,3,900,0,16000,100000,0,2,3,789,0,1,ff8081814c17ede2014c211e32c51355,55.0
0,4.0,0,0,3,1100,0,19000,150000,1,2,3,805,0,0,ff8081814c17ede2014c21258f76136f,55.0
2,2.0,0,1,2,1250,0,24000,240000,1,2,3,325,0,1,ff8081814c17ede2014c2128ddc31385,55.0
3,3.0,0,0,3,1000,0,15000,75000,1,2,3,2288,0,1,ff8081814c17ede2014c21ef5bb816b6,55.0
2,3.0,0,0,8,1800,0,25000,100000,3,2,0,1785,0,1,ff8081814c17ede2014c223aa114184e,55.0
3,12.0,1,1,9,1190,1,16500,100000,1,2,0,2312,0,0,ff8081814c17ede2014c22ea3d7e1b63,54.0
0,2.0,1,1,7,1254,1,25000,250000,1,2,3,766,0,0,ff8081814c286360014c28a27ce90094,54.0
3,4.0,1,1,2,1186,1,18000,100000,1,2,3,618,0,0,ff8081814c286360014c2b177bc9035c,54.0
0,3.0,0,0,0,1000,0,9000,90000,1,1,3,659,0,1,ff8081814c2dea94014c3127d03a0555,54.0
1,3.0,0,0,3,1020,0,21000,100000,2,2,0,236,3,1,ff8081814c2dea94014c312cb5de056b,54.0
1,2.0,0,0,9,800,0,10000,100000,1,2,0,410,3,1,ff8081814c2dea94014c34f4d2c30c75,54.0
2,2.0,0,0,3,700,0,6000,60000,1,1,0,2158,3,1,ff8081814c2dea94014c35ad3d070dd5,54.0
0,4.0,0,0,8,2300,0,25000,250000,2,2,0,1017,0,0,ff8081814c2dea94014c35e364920e8a,54.0
2,3.0,0,0,3,500,0,6500,25000,0,1,0,701,3,1,ff8081814c2dea94014c35fe2c5e0f27,54.0
14,17.0,1,1,2,1560,1,26000,250000,2,2,0,2312,0,0,ff8081814c2dea94014c3665dacb10f2,54.0
8,12.0,0,1,0,1060,0,18000,180000,1,2,3,671,0,0,ff8081814c2dea94014c36c5ebd0129b,53.0
0,3.0,0,0,6,900,0,12000,120000,1,2,3,1891,0,1,ff8081814c2dea94014c36d4d03112e6,53.0
3,4.0,0,1,7,1100,0,18000,200000,1,2,3,1123,0,0,ff8081814c2dea94014c371400ee141e,53.0
2,2.0,0,0,10,1200,0,12500,125000,1,2,0,279,0,1,ff8081814c2dea94014c3c3581a92106,53.0
3,4.0,0,0,1,700,0,13000,150000,1,2,3,989,0,1,ff8081814c2dea94014c3fb22ed4270e,53.0
1,1.0,0,0,1,900,0,13000,130000,1,2,3,467,0,1,ff8081814c2dea94014c405015ff29eb,53.0
2,2.0,0,0,7,600,0,8000,600000,0,2,0,1466,3,1,ff8081814c2dea94014c44df956d34b6,53.0
3,3.0,0,0,6,1374,0,15000,150000,1,2,3,1987,0,0,ff8081814c2dea94014c45693b3936c0,53.0
0,2.0,0,0,8,700,0,10500,40000,1,2,0,699,3,1,ff8081814c2dea94014c45f32212399b,53.0
1,2.0,0,0,0,600,0,14250,75000,1,2,3,236,3,0,ff8081814c2dea94014c463cce093b60,53.0
2,3.0,0,0,2,800,0,7500,75000,0,1,3,1335,3,1,ff8081814c2dea94014c468af5723d47,53.0
3,3.0,0,0,0,600,0,9000,50000,0,2,3,1785,0,1,ff8081814c2dea94014c468f6d203d6c,53.0
2,14.0,1,1,0,1575,1,20000,200000,3,2,3,1202,0,0,ff8081814c2dea94014c4776bf954111,53.0
0,5.0,1,1,5,919,0,17500,100000,1,2,0,668,0,0,ff8081814c2dea94014c4a0106a14429,52.0
0,1.0,0,0,5,1100,0,20000,200000,1,2,3,1811,3,2,ff8081814c2dea94014c4a15ad144469,52.0
0,1.0,0,0,3,1000,0,13000,130000,1,2,3,1113,0,2,ff8081814c2dea94014c4a50fb024576,52.0
0,5.0,0,0,3,1070,0,21000,210000,1,2,3,1494,0,0,ff8081814c2dea94014c4b3eb33349a0,52.0
0,1.0,0,0,25,700,0,15000,150000,1,2,3,715,0,2,ff8081814c2dea94014c4b9cc50f4bbd,52.0
2,3.0,1,1,10,950,1,23500,200000,1,2,3,410,0,0,ff8081814c2dea94014c4f65ebed5369,52.0
0,2.0,0,0,5,1100,0,14000,150000,1,2,3,2092,0,1,ff8081814c2dea94014c50079c00568e,52.0
0,2.0,0,0,5,1250,0,12500,125000,1,2,0,86,0,1,ff8081814c2dea94014c50865ea35904,52.0
1,2.0,0,0,5,500,0,10000,50000,0,2,0,275,2,2,ff8081814c2dea94014c508ff5d55939,52.0
1,1.0,0,0,2,450,0,10500,30000,0,2,0,626,3,1,ff8081814c2dea94014c50c1eff15a18,51.0
1,4.0,1,1,1,1535,1,11000,100000,2,2,3,482,0,0,ff8081814c2dea94014c51be14005d60,51.0
1,5.0,1,1,1,1000,1,13000,100000,1,2,3,668,0,0,ff8081814c2dea94014c51d2c37d5d86,51.0
4,4.0,1,1,2,1704,0,26000,150000,2,2,3,1131,0,0,ff8081814c2dea94014c547ddf6260e2,51.0
3,3.0,0,0,4,150,0,4000,11000,5,1,1,236,3,0,ff8081814c2dea94014c5495c1a66152,51.0
0,4.0,0,0,2,1200,0,15000,150000,1,2,0,1610,3,1,ff8081814c2dea94014c555273b163df,51.0
1,1.0,0,0,10,700,0,7500,6000,1,2,3,1522,0,1,ff8081814c2dea94014c5599f6a664fe,51.0
3,3.0,0,0,9,750,0,8500,75000,0,2,3,279,0,0,ff8081814c2dea94014c55ad10df6583,51.0
0,0.0,0,0,2,1600,0,18000,180000,3,1,0,2274,3,2,ff8081814c58efc3014c5975b86700b4,51.0
1,4.0,0,1,2,980,0,18000,100000,1,2,3,1339,0,0,ff8081814c58efc3014c59a2ac780152,50.0
2,3.0,0,0,1,800,0,14000,140000,1,2,3,626,0,0,ff8081814c58efc3014c5a9b83e60612,50.0
3,4.0,0,1,2,1300,0,18000,100000,2,2,3,1701,0,0,ff8081814c58efc3014c5afccc9f07c6,50.0
1,2.0,0,0,12,720,0,10500,105000,1,2,3,1785,3,1,ff8081814c58efc3014c5b4793a40916,50.0
1,2.0,0,0,7,950,0,13000,130000,1,2,0,963,0,1,ff8081814c58efc3014c5ec772360eea,50.0
2,3.0,0,0,2,950,0,25000,200000,1,2,3,789,3,1,ff8081814c58efc3014c5f40b889120d,50.0
4,5.0,1,1,6,1740,1,20000,100000,2,2,0,897,0,0,ff8081814c58efc3014c5f5afc701275,50.0
0,2.0,0,0,10,500,0,10500,125000,0,2,0,1466,3,1,ff8081814c58efc3014c5fe2c4781571,50.0
0,3.0,0,0,1,1300,0,15000,150000,2,2,3,667,0,1,ff8081814c58efc3014c6054adc61781,50.0
3,3.0,1,1,1,1300,1,13000,110000,1,0,3,667,0,0,ff8081814c58efc3014c63b152311d45,50.0
10,12.0,1,1,3,1270,1,22000,220000,1,2,0,2312,0,0,ff8081814c58efc3014c63f1d8761e18,50.0
2,2.0,0,0,3,300,0,5600,40000,5,1,0,2108,3,1,ff8081814c58efc3014c63f5a2631e27,50.0
2,3.0,0,0,1,2000,0,24000,240000,2,2,0,1015,0,0,ff8081814c58efc3014c6418dba11eda,50.0
0,5.0,0,1,5,1070,0,21000,210000,1,2,3,1494,0,0,ff8081814c58efc3014c643375ad1f7f,50.0
1,3.0,0,0,3,600,0,19000,80000,1,2,3,789,2,1,ff8081814c58efc3014c643f06141fee,50.0
1,3.0,0,0,8,450,0,6000,60000,0,2,0,963,3,1,ff8081814c58efc3014c64523f4a2060,50.0
0,3.0,0,0,2,600,0,1500,500000,1,1,3,424,3,1,ff8081814c58efc3014c64d26b5a22c0,50.0
3,3.0,0,0,2,800,0,12500,75000,1,2,3,351,0,1,ff8081814c58efc3014c64d8dd4122f3,49.0
3,3.0,0,0,1,300,0,7000,70000,0,2,1,779,3,1,ff8081814c58efc3014c64ff150923d1,49.0
1,3.0,0,0,10,600,0,9000,90000,0,2,0,1814,0,1,ff8081814c58efc3014c68e8fd382c5d,49.0
1,4.0,0,1,3,1280,0,12000,50000,1,2,0,504,0,0,ff8081814c58efc3014c69d1184b3170,49.0
